Dag,2021/09/15_laag,2021/09/15_hoog,2021/11/03_laag,2021/11/03_hoog,2021/11/15_laag,2021/11/15_hoog,2021/12/21_laag,2021/12/21_hoog,2022/01/20_laag,2022/01/20_hoog,2022/01/26_laag,2022/01/26_hoog,LCPS_7_dgn_gem
9/1/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.57142857
9/2/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.57142857
9/3/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14
9/4/2021,8.854166667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.28571429
9/5/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.42857143
9/6/2021,7.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12
9/7/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.14285714
9/8/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14
9/9/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.71428571
9/10/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.57142857
9/11/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.71428571
9/12/2021,5.9375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.42857143
9/13/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.42857143
9/14/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.14285714
9/15/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.71428571
9/16/2021,4.947916667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.57142857
9/17/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.28571429
9/18/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.571428571
9/19/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.714285714
9/20/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.857142857
9/21/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.42857143
9/22/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.28571429
9/23/2021,4.010416667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.14285714
9/24/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.28571429
9/25/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.57142857
9/26/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.71428571
9/27/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10
9/28/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.857142857
9/29/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.285714286
9/30/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.428571429
10/1/2021,3.645833333,3.489583333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.857142857
10/2/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7
10/3/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.714285714
10/4/2021,#N/A,3.541666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.285714286
10/5/2021,3.229166667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.285714286
10/6/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10
10/7/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.14285714
10/8/2021,#N/A,3.645833333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10
10/9/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.571428571
10/10/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.857142857
10/11/2021,#N/A,3.90625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.42857143
10/12/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.428571429
10/13/2021,3.020833333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9
10/14/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10
10/15/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.71428571
10/16/2021,#N/A,4.166666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.14285714
10/17/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.71428571
10/18/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.42857143
10/19/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14
10/20/2021,#N/A,4.479166667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.28571429
10/21/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.57142857
10/22/2021,2.8125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17
10/23/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.85714286
10/24/2021,#N/A,4.84375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.42857143
10/25/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.42857143
10/26/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.42857143
10/27/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.85714286
10/28/2021,#N/A,5.260416667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.28571429
10/29/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18
10/30/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.71428571
10/31/2021,2.8125,#N/A,21.14173228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.28571429
11/1/2021,#N/A,#N/A,#N/A,#N/A,26.53846154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.14285714
11/2/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.28571429
11/3/2021,#N/A,5.78125,#N/A,#N/A,27.56410256,26.53846154,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20
11/4/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.57142857
11/5/2021,#N/A,#N/A,#N/A,22.91338583,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.85714286
11/6/2021,#N/A,#N/A,21.8503937,#N/A,27.94871795,28.33333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.71428571
11/7/2021,#N/A,6.302083333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.42857143
11/8/2021,2.8125,#N/A,#N/A,24.56692913,28.71794872,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.85714286
11/9/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.28571429
11/10/2021,#N/A,#N/A,22.44094488,#N/A,#N/A,29.35897436,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.28571429
11/11/2021,#N/A,6.71875,#N/A,27.04724409,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26.71428571
11/12/2021,#N/A,#N/A,#N/A,#N/A,#N/A,30.8974359,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.57142857
11/13/2021,#N/A,#N/A,#N/A,29.17322835,28.84615385,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.42857143
11/14/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.28571429
11/15/2021,#N/A,7.395833333,22.32283465,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29
11/16/2021,#N/A,#N/A,#N/A,32.24409449,#N/A,32.69230769,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32
11/17/2021,2.8125,#N/A,#N/A,#N/A,28.33333333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33.42857143
11/18/2021,#N/A,#N/A,#N/A,35.78740157,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36.85714286
11/19/2021,#N/A,7.916666667,#N/A,#N/A,#N/A,35.25641026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39
11/20/2021,#N/A,#N/A,22.32283465,#N/A,27.82051282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38
11/21/2021,#N/A,#N/A,#N/A,#N/A,#N/A,37.17948718,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.42857143
11/22/2021,#N/A,8.75,#N/A,39.09448819,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.57142857
11/23/2021,#N/A,#N/A,#N/A,#N/A,26.92307692,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.28571429
11/24/2021,#N/A,#N/A,#N/A,#N/A,#N/A,39.61538462,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42.85714286
11/25/2021,2.916666667,#N/A,22.08661417,43.7007874,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42.42857143
11/26/2021,#N/A,9.375,#N/A,#N/A,25.8974359,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42
11/27/2021,#N/A,#N/A,#N/A,#N/A,#N/A,41.15384615,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.71428571
11/28/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46.28571429
11/29/2021,#N/A,10.20833333,#N/A,47.5984252,24.23076923,41.66666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48.28571429
11/30/2021,#N/A,#N/A,21.73228346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47.71428571
12/1/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47
12/2/2021,3.28125,#N/A,#N/A,50.31496063,22.56410256,41.15384615,50.25466893,#N/A,#N/A,#N/A,#N/A,#N/A,48.28571429
12/3/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46.85714286
12/4/2021,#N/A,11.14583333,#N/A,#N/A,#N/A,39.87179487,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.71428571
12/5/2021,#N/A,#N/A,21.49606299,#N/A,20.76923077,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.85714286
12/6/2021,#N/A,#N/A,#N/A,52.79527559,#N/A,#N/A,46.85908319,#N/A,#N/A,#N/A,#N/A,#N/A,42.28571429
12/7/2021,#N/A,12.13541667,#N/A,#N/A,#N/A,38.46153846,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.71428571
12/8/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.28571429
12/9/2021,3.385416667,#N/A,20.90551181,53.85826772,18.84615385,36.28205128,43.46349745,#N/A,#N/A,#N/A,#N/A,#N/A,37.71428571
12/10/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40
12/11/2021,#N/A,13.07291667,#N/A,#N/A,#N/A,33.71794872,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.71428571
12/12/2021,#N/A,#N/A,#N/A,53.85826772,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.71428571
12/13/2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.06791171,#N/A,#N/A,#N/A,#N/A,#N/A,38.57142857
12/14/2021,3.697916667,13.85416667,#N/A,#N/A,16.53846154,31.28205128,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.14285714
12/15/2021,#N/A,#N/A,19.96062992,52.55905512,#N/A,29.23076923,38.03056027,#N/A,#N/A,#N/A,#N/A,#N/A,38.42857143
